player_display_name,position,season,fantasy_points_ppr,adp_round,adp,rank,draft_outcome
Lamar Jackson,QB,2019,415.68,9.0,97.6,1,Big Value
Dak Prescott,QB,2019,337.78000000000003,11.0,127.2,2,Big Value
Russell Wilson,QB,2019,328.6,8.0,88.4,3,
Deshaun Watson,QB,2019,320.98,4.0,47.1,4,
Jameis Winston,QB,2019,305.36,9.0,105.1,5,Big Value
Josh Allen,QB,2019,288.56,13.0,145.8,6,Big Value
Patrick Mahomes,QB,2019,287.04,2.0,19.3,7,
Kyler Murray,QB,2019,285.28,10.0,110.9,8,
Aaron Rodgers,QB,2019,278.38,5.0,55.7,9,Big Bust
Carson Wentz,QB,2019,275.86,7.0,74.6,10,
Matt Ryan,QB,2019,267.34000000000003,6.0,69.2,11,
Tom Brady,QB,2019,263.68,10.0,114.6,12,
Jared Goff,QB,2019,247.52,7.0,81.5,13,
Jimmy Garoppolo,QB,2019,247.32,13.0,147.5,14,
Kirk Cousins,QB,2019,244.42000000000002,11.0,130.7,15,
Derek Carr,QB,2019,244.36,14.0,157.4,16,
Ryan Fitzpatrick,QB,2019,241.46,,,17,
Philip Rivers,QB,2019,235.5,10.0,116.1,18,
Gardner Minshew,QB,2019,229.24,,,19,
Baker Mayfield,QB,2019,229.18,6.0,63.2,20,
Drew Brees,QB,2019,224.76,7.0,73.9,21,
Ryan Tannehill,QB,2019,224.18,,,22,
Jacoby Brissett,QB,2019,217.68,,,23,
Daniel Jones,QB,2019,214.98000000000002,,,24,
Christian McCaffrey,RB,2019,471.20000000000005,1.0,3.2,1,
Aaron Jones,RB,2019,314.8,3.0,29.2,2,
Ezekiel Elliott,RB,2019,311.70000000000005,1.0,3.9,3,
Austin Ekeler,RB,2019,309.0,6.0,61.7,4,Big Value
Derrick Henry,RB,2019,294.6,4.0,43.8,5,Big Value
Dalvin Cook,RB,2019,292.4,2.0,14.6,6,
Leonard Fournette,RB,2019,259.4,2.0,23.2,7,
Nick Chubb,RB,2019,255.20000000000002,1.0,11.7,8,
Alvin Kamara,RB,2019,248.52,1.0,2.5,9,
Saquon Barkley,RB,2019,244.10000000000002,1.0,1.4,10,
Mark Ingram,RB,2019,242.5,4.0,39.7,11,Big Value
Chris Carson,RB,2019,232.6,3.0,26.5,12,
Joe Mixon,RB,2019,225.4,2.0,18.4,13,
Todd Gurley,RB,2019,219.4,2.0,16.0,14,
Miles Sanders,RB,2019,218.70000000000002,5.0,59.0,15,Value
Le'Veon Bell,RB,2019,215.0,1.0,8.8,16,
James White,RB,2019,202.2,4.0,48.1,17,Value
Phillip Lindsay,RB,2019,197.70000000000002,5.0,55.6,18,Value
Devonta Freeman,RB,2019,197.6,3.0,30.4,19,
Josh Jacobs,RB,2019,191.6,3.0,33.1,20,
Marlon Mack,RB,2019,181.3,4.0,46.5,21,
Melvin Gordon,RB,2019,180.8,4.0,42.0,22,
David Montgomery,RB,2019,170.4,3.0,31.3,23,
Raheem Mostert,RB,2019,167.2,16.0,,24,Big Value
Ronald Jones,RB,2019,166.3,14.0,158.1,25,
Tarik Cohen,RB,2019,163.9,6.0,71.0,26,
Kenyan Drake,RB,2019,159.4,7.0,82.9,27,
Latavius Murray,RB,2019,157.2,7.0,76.4,28,
Duke Johnson,RB,2019,154.0,5.0,51.7,29,
